Fiscal Year,Other Organics Collection Category,Tons Collected
2012,Food scrap drop off  - DSNY collected,23
2013,Food scrap drop off  - DSNY collected,232
2014,Food scrap drop off  - DSNY collected,325
2015,Food scrap drop off  - DSNY collected,408
2016,Food scrap drop off  - DSNY collected,483
2017,Food scrap drop off  - DSNY collected,451
2018,Food scrap drop off  - DSNY collected,468
2012,Food scrap and other organics drop off - not DSNY collected,209
2013,Food scrap and other organics drop off - not DSNY collected,720
2014,Food scrap and other organics drop off - not DSNY collected,"1,505"
2015,Food scrap and other organics drop off - not DSNY collected,"1,704"
2016,Food scrap and other organics drop off - not DSNY collected,"1,824"
2017,Food scrap and other organics drop off - not DSNY collected,"1,725"
2018,Food scrap and other organics drop off - not DSNY collected,"2,064"
2019,Food scrap and other organics drop off - not DSNY collected,"2,527"
