Borough,2010 Census FIPS County Code,2010 DCP Borough Code,2010 Census Tract,t_pop_2010,,,,,,,
Bronx,005,2,000100,"11,091",390.27,28.4,,,,,
Bronx,005,2,000200,"4,334",112.51,38.5,,,,,
Bronx,005,2,000400,"5,503",225.46,24.4,,,,,
Bronx,005,2,001600,"5,643",119.87,47.1,,,,,
Bronx,005,2,001900,"1,917",406.16,4.7,,,,,
Bronx,005,2,002000,"8,731",97.75,89.3,,,,,
Bronx,005,2,002300,"4,933",25.83,191.0,,,,,
Bronx,005,2,002400,4,166.95,0.0,,,,,
Bronx,005,2,002500,"5,491",31.54,174.1,,,,,
Bronx,005,2,002701,"3,113",20.54,151.6,,,,,
Bronx,005,2,002702,"4,475",38.89,115.1,,,,,
Bronx,005,2,002800,"5,586",103.16,54.1,,,,,
Bronx,005,2,003100,"1,597",38.62,41.4,,,,,
Bronx,005,2,003300,"3,413",37.24,91.6,,,,,
Bronx,005,2,003500,"3,761",35.09,107.2,,,,,
Bronx,005,2,003700,245,41.42,5.9,,,,,
Bronx,005,2,003800,"1,264",15.67,80.7,,,,,
Bronx,005,2,003900,"6,475",53.43,121.2,,,,,
Bronx,005,2,004001,"1,420",30.43,46.7,,,,,
Bronx,005,2,004100,"6,127",45.65,134.2,,,,,
Bronx,005,2,004200,"7,143",119.44,59.8,,,,,
Bronx,005,2,004300,"5,056",55.7,90.8,,,,,
Bronx,005,2,004400,"4,797",65.08,73.7,,,,,
Bronx,005,2,004600,"1,555",33.41,46.5,,,,,
Bronx,005,2,004800,"3,883",36.68,105.9,,,,,
Bronx,005,2,005001,"4,767",24.19,197.1,,,,,
Bronx,005,2,005002,"5,823",28.15,206.9,,,,,
Bronx,005,2,005100,"5,810",120.91,48.1,,,,,
Bronx,005,2,005200,"2,031",45.11,45.0,,,,,
Bronx,005,2,005300,"4,669",16.6,281.3,,,,,
Bronx,005,2,005400,"5,853",49.35,118.6,,,,,
Bronx,005,2,005600,"2,711",33.65,80.6,,,,,
Bronx,005,2,005902,"2,582",17.37,148.6,,,,,
Bronx,005,2,006000,"1,129",80.91,14.0,,,,,
Bronx,005,2,006100,"3,713",59.89,62.0,,,,,
Bronx,005,2,006200,"6,585",47.68,138.1,,,,,
Bronx,005,2,006300,"5,280",253.91,20.8,,,,,
Bronx,005,2,006400,"3,967",40.61,97.7,,,,,
Bronx,005,2,006500,"5,337",64.88,82.3,,,,,
Bronx,005,2,006700,"6,984",52.49,133.1,,,,,
Bronx,005,2,006800,"2,897",38.65,75.0,,,,,
Bronx,005,2,006900,"7,564",46.45,162.8,,,,,
Bronx,005,2,007000,"4,584",50.63,90.5,,,,,
Bronx,005,2,007100,"1,907",65.26,29.2,,,,,
Bronx,005,2,007200,"5,432",52.53,103.4,,,,,
Bronx,005,2,007300,"3,893",34.63,112.4,,,,,
Bronx,005,2,007400,"3,710",46.25,80.2,,,,,
Bronx,005,2,007500,"4,869",56.3,86.5,,,,,
Bronx,005,2,007600,"5,190",53.65,96.7,,,,,
Bronx,005,2,007700,"1,927",27.88,69.1,,,,,
Bronx,005,2,007800,"6,418",75.95,84.5,,,,,
Bronx,005,2,007900,"6,733",48.91,137.7,,,,,
Bronx,005,2,008300,"6,155",52.86,116.4,,,,,
Bronx,005,2,008400,"2,374",38.74,61.3,,,,,
Bronx,005,2,008500,"5,457",44.89,121.6,,,,,
Bronx,005,2,008600,"4,176",46.37,90.1,,,,,
Bronx,005,2,008700,"5,466",52.78,103.6,,,,,
Bronx,005,2,008900,"3,177",27.07,117.4,,,,,
Bronx,005,2,009000,"3,667",239.74,15.3,,,,,
Bronx,005,2,009200,"5,017",76.26,65.8,,,,,
Bronx,005,2,009300,"6,356",568.33,11.2,,,,,
Bronx,005,2,009600,"2,594",172.76,15.0,,,,,
Bronx,005,2,009800,"5,038",127.5,39.5,,,,,
Bronx,005,2,011000,151,511.58,0.3,,,,,
Bronx,005,2,011502,"4,340",84.57,51.3,,,,,
